query,year,count,doc_count,total_count,total_doc_count
сукно,2022,0,0,80402,30
сукно,2021,0,0,264854,65
сукно,2020-2021,0,0,1165,1
сукно,2020,2,2,438828,265
сукно,2019,7,5,1093833,294
сукно,2018,24,1,561513,169
сукно,2017-2020,0,0,94700,1
сукно,2017,6,3,1385369,295
сукно,2016,3,2,1414543,403
сукно,2015-2021,0,0,3922,6
сукно,2015,16,6,3195036,774
сукно,2014-2016,1,1,112842,1
сукно,2014-2015,0,0,22040,15
сукно,2014,17,13,2929633,1204
сукно,2013-2015,0,0,1921,2
сукно,2013-2014,2,1,39137,12
сукно,2013,39,15,4507546,1849
сукно,2012-2014,0,0,2172,2
сукно,2012-2013,0,0,12577,8
сукно,2012,31,22,4746531,1460
сукно,2011-2015,0,0,80885,1
сукно,2011-2014,0,0,3889,2
сукно,2011-2013,0,0,44322,10
сукно,2011-2012,0,0,12429,8
сукно,2011,20,13,3678314,1013
сукно,2010-2013,0,0,3797,2
сукно,2010-2012,0,0,13443,7
сукно,2010-2011,0,0,76967,23
сукно,2010,10,6,3097786,1185
сукно,2009-2015,0,0,999,1
сукно,2009-2013,0,0,2242,1
сукно,2009-2012,0,0,17145,4
сукно,2009-2011,0,0,64374,17
сукно,2009-2010,0,0,30500,11
сукно,2009,21,13,3936462,1355
сукно,2008-2014,0,0,1043,1
сукно,2008-2013,0,0,7006,3
сукно,2008-2012,0,0,8267,2
сукно,2008-2011,0,0,39747,10
сукно,2008-2010,1,1,123542,10
сукно,2008-2009,1,1,257438,8
сукно,2008,33,16,3677832,1391
сукно,2007-2013,0,0,203,1
сукно,2007-2012,0,0,1281,1
сукно,2007-2011,0,0,54688,10
сукно,2007-2010,0,0,32014,5
сукно,2007-2008,0,0,67360,6
сукно,2007,17,12,3876771,887
сукно,2006-2011,0,0,2683,1
сукно,2006-2010,0,0,10332,4
сукно,2006-2009,0,0,1396,1
сукно,2006-2008,0,0,2769,1
сукно,2006-2007,2,1,157098,10
сукно,2006,9,5,2720203,717
сукно,2005-2013,0,0,285,1
сукно,2005-2011,0,0,407,1
сукно,2005-2010,0,0,15622,2
сукно,2005-2008,0,0,5660,2
сукно,2005-2007,0,0,17046,5
сукно,2005-2006,0,0,28094,5
сукно,2005,14,6,2221610,575
сукно,2004-2011,0,0,4282,1
сукно,2004-2008,1,1,115953,1
сукно,2004-2006,0,0,32728,1
сукно,2004,20,17,10024354,6869
сукно,2003-2012,0,0,872,1
сукно,2003-2008,0,0,85786,16
сукно,2003-2005,0,0,92908,1
сукно,2003-2004,0,0,3725,1
сукно,2003,44,38,15765493,11134
сукно,2002-2004,1,1,59213,1
сукно,2002-2003,0,0,102484,6
сукно,2002,42,34,10866965,7872
сукно,2001-2011,0,0,5383,1
сукно,2001-2003,0,0,8186,1
сукно,2001-2002,0,0,4359,1
сукно,2001,47,25,8226588,3350
сукно,2000-2010,0,0,8220,1
сукно,2000-2005,0,0,5077,6
сукно,2000-2004,0,0,50377,3
сукно,2000-2003,0,0,52374,1
сукно,2000-2002,2,2,180041,3
сукно,2000-2001,5,2,332630,6
сукно,2000,55,26,6352932,927
сукно,1999-2003,0,0,79745,1
сукно,1999-2001,0,0,71331,2
сукно,1999-2000,1,1,140999,1
сукно,1999,41,22,5943243,603
сукно,1998-2007,0,0,38697,2
сукно,1998-2004,0,0,77927,2
сукно,1998-2000,0,0,53334,2
сукно,1998-1999,4,2,197839,13
сукно,1998,33,18,4257624,830
сукно,1997-2008,4,1,205727,1
сукно,1997-2002,1,1,123225,2
сукно,1997-2000,0,0,36116,3
сукно,1997-1999,0,0,42199,4
сукно,1997-1998,0,0,87710,4
сукно,1997,24,12,4432903,1772
сукно,1996-1999,0,0,2405,1
сукно,1996-1998,2,1,39255,1
сукно,1996-1997,0,0,181403,5
сукно,1996,13,8,2862714,1115
сукно,1995-2005,3,1,18535,1
сукно,1995-2003,0,0,1095,1
сукно,1995-2001,0,0,383,1
сукно,1995-2000,1,1,30496,7
сукно,1995-1999,1,1,227570,2
сукно,1995-1996,7,1,176332,3
сукно,1995,15,9,2436195,424
сукно,1994-2003,0,0,179466,1
сукно,1994-2002,1,1,32509,1
сукно,1994-1995,2,1,113383,3
сукно,1994,16,12,1499167,242
сукно,1993-2003,1,1,183469,2
сукно,1993-2002,0,0,455,1
сукно,1993-2000,0,0,1859,6
сукно,1993-1997,0,0,7487,1
сукно,1993-1995,0,0,13518,2
сукно,1993-1994,0,0,47506,3
сукно,1993,29,10,1639467,228
сукно,1992-2012,0,0,22780,6
сукно,1992-1999,0,0,19032,2
сукно,1992-1998,0,0,1104,1
сукно,1992,11,8,1021482,277
сукно,1991-2000,0,0,35835,3
сукно,1991-1999,0,0,520,1
сукно,1991-1995,0,0,52676,1
сукно,1991-1994,0,0,63847,1
сукно,1991-1992,0,0,4195,1
сукно,1991,7,4,2073015,814
сукно,1990-2002,0,0,36924,2
сукно,1990-2000,3,3,442211,69
сукно,1990-1999,3,1,214159,17
сукно,1990-1998,1,1,101575,3
сукно,1990-1996,0,0,70457,21
сукно,1990-1995,1,1,55802,5
сукно,1990-1994,0,0,4500,1
сукно,1990-1993,0,0,41189,1
сукно,1990-1992,0,0,32586,2
сукно,1990-1991,0,0,165414,8
сукно,1990,9,8,1005805,502
сукно,1989-2002,0,0,1182,1
сукно,1989-2000,0,0,2396,2
сукно,1989-1999,0,0,7206,1
сукно,1989-1996,3,1,95757,1
сукно,1989-1993,2,1,60381,1
сукно,1989-1990,0,0,15713,3
сукно,1989,15,10,2174408,498
сукно,1988-2000,0,0,59757,1
сукно,1988-1999,0,0,22395,1
сукно,1988-1998,0,0,142707,1
сукно,1988-1996,0,0,14098,1
сукно,1988-1993,0,0,53640,1
сукно,1988-1992,0,0,2364,1
сукно,1988-1990,2,1,19355,1
сукно,1988-1989,3,1,41642,1
сукно,1988,10,6,1347858,373
сукно,1987-2001,0,0,25423,1
сукно,1987-2000,4,1,66147,1
сукно,1987-1999,0,0,148054,18
сукно,1987-1998,0,0,45936,1
сукно,1987-1997,7,1,114563,5
сукно,1987-1994,0,0,674,1
сукно,1987-1993,0,0,940,1
сукно,1987-1989,0,0,3550,1
сукно,1987-1988,0,0,796,1
сукно,1987,19,12,1957194,364
сукно,1986-2012,0,0,4581,8
сукно,1986-2005,4,1,3831,1
сукно,1986-2000,0,0,78568,4
сукно,1986-1990,0,0,110189,2
сукно,1986-1988,0,0,7809,1
